,date,country,confirmed,recovered,deaths
166,2021-01-01,Switzerland,452296,317600,7704
167,2021-01-01,Syria,11526,5420,717
168,2021-01-01,Taiwan*,802,682,7
169,2021-01-01,Tajikistan,13296,12894,90
170,2021-01-01,Tanzania,509,183,21
171,2021-01-01,Thailand,7379,4299,64
172,2021-01-01,Timor-Leste,44,32,0
173,2021-01-01,Togo,3662,3443,68
174,2021-01-01,Trinidad and Tobago,7158,6671,127
175,2021-01-01,Tunisia,140557,105499,4730
176,2021-01-01,Turkey,2220855,2114760,21093
177,2021-01-01,US,20252991,0,354232
178,2021-01-01,Uganda,35511,11878,265
179,2021-01-01,Ukraine,1096855,746680,19437
180,2021-01-01,United Arab Emirates,209678,186019,671
181,2021-01-01,United Kingdom,2549693,5682,74237
182,2021-01-01,Uruguay,19753,13990,193
183,2021-01-01,Uzbekistan,77182,75244,614
184,2021-01-01,Vanuatu,1,1,0
185,2021-01-01,Venezuela,113884,107901,1030
186,2021-01-01,Vietnam,1474,1325,35
187,2021-01-01,West Bank and Gaza,139223,118926,1418
188,2021-01-01,Yemen,2101,1396,610
189,2021-01-01,Zambia,20997,18773,390
190,2021-01-01,Zimbabwe,14084,11347,369
191,2021-01-02,Afghanistan,51526,41727,2191
192,2021-01-02,Albania,58991,34353,1190
193,2021-01-02,Algeria,100159,67611,2769
194,2021-01-02,Andorra,8166,7463,84
195,2021-01-02,Angola,17608,11189,407
196,2021-01-02,Antigua and Barbuda,159,148,5
197,2021-01-02,Argentina,1634834,1447092,43375
198,2021-01-02,Armenia,159798,143640,2836
199,2021-01-02,Australia,28484,22581,909
200,2021-01-02,Austria,364302,336922,6275
201,2021-01-02,Azerbaijan,219462,191925,2703
202,2021-01-02,Bahamas,7887,6239,171
203,2021-01-02,Bahrain,93184,90558,352
204,2021-01-02,Bangladesh,515184,459620,7599
205,2021-01-02,Barbados,395,319,7
206,2021-01-02,Belarus,198125,181109,1442
207,2021-01-02,Belgium,649169,0,19644
208,2021-01-02,Belize,10807,9950,249
209,2021-01-02,Benin,3251,3061,44
210,2021-01-02,Bhutan,710,450,0
211,2021-01-02,Bolivia,162055,133013,9186
212,2021-01-02,Bosnia and Herzegovina,112143,77682,4086
213,2021-01-02,Botswana,14805,12136,42
214,2021-01-02,Brazil,7716405,6893256,195725
215,2021-01-02,Brunei,157,149,3
216,2021-01-02,Bulgaria,202880,121467,7644
217,2021-01-02,Burkina Faso,6940,5253,86
218,2021-01-02,Burma,125616,108660,2711
219,2021-01-02,Burundi,822,687,2
220,2021-01-02,Cabo Verde,11883,11578,113
221,2021-01-02,Cambodia,381,362,0
222,2021-01-02,Cameroon,26848,24892,448
223,2021-01-02,Canada,589935,497492,15914
224,2021-01-02,Central African Republic,4963,1924,63
225,2021-01-02,Chad,2169,1710,104
226,2021-01-02,Chile,615902,581961,16724
227,2021-01-02,China,96086,90099,4784
228,2021-01-02,Colombia,1666408,1530973,43765
229,2021-01-02,Comoros,864,732,13
230,2021-01-02,Congo (Brazzaville),7107,5846,108
231,2021-01-02,Congo (Kinshasa),17998,14716,595
232,2021-01-02,Costa Rica,169321,131923,2185
233,2021-01-02,Cote d'Ivoire,22563,21981,138
234,2021-01-02,Croatia,212262,201300,4016
235,2021-01-02,Cuba,12225,10494,146
236,2021-01-02,Cyprus,23445,2057,129
237,2021-01-02,Czechia,735469,608128,11827
238,2021-01-02,Denmark,168182,134468,1345
239,2021-01-02,Diamond Princess,712,699,13
240,2021-01-02,Djibouti,5841,5738,61
241,2021-01-02,Dominica,88,83,0
242,2021-01-02,Dominican Republic,172965,132282,2416
243,2021-01-02,Ecuador,214513,184507,14059
244,2021-01-02,Egypt,140878,113480,7741
245,2021-01-02,El Salvador,46803,45960,1327
246,2021-01-02,Equatorial Guinea,5277,5136,86
247,2021-01-02,Eritrea,1320,643,3
248,2021-01-02,Estonia,28789,19205,241
249,2021-01-02,Eswatini,9711,7096,227
250,2021-01-02,Ethiopia,125049,112325,1944
251,2021-01-02,Fiji,49,44,2
252,2021-01-02,Finland,36604,29000,561
253,2021-01-02,France,2700480,201095,65048
254,2021-01-02,Gabon,9571,9388,64
255,2021-01-02,Gambia,3800,3669,124
256,2021-01-02,Georgia,228752,217973,2572
257,2021-01-02,Germany,1773540,1400810,34480
258,2021-01-02,Ghana,55064,53828,335
259,2021-01-02,Greece,139709,93764,4921
260,2021-01-02,Grenada,127,107,0
261,2021-01-02,Guatemala,138316,127063,4827
262,2021-01-02,Guinea,13784,13153,81
263,2021-01-02,Guinea-Bissau,2452,2397,45
264,2021-01-02,Guyana,6351,5894,164
265,2021-01-02,Haiti,10015,8657,236
266,2021-01-02,Holy See,27,15,0
267,2021-01-02,Honduras,123144,57348,3173
268,2021-01-02,Hungary,326688,164403,9781
269,2021-01-02,Iceland,5754,5578,29
270,2021-01-02,India,10323965,9927310,149435
271,2021-01-02,Indonesia,758473,625518,22555
272,2021-01-02,Iran,1237474,1004326,55438
273,2021-01-02,Iraq,597033,541746,12829
274,2021-01-02,Ireland,96926,23364,2252
275,2021-01-02,Israel,434799,381902,3392
276,2021-01-02,Italy,2141201,1489154,74985
277,2021-01-02,Jamaica,12931,10679,303
278,2021-01-02,Japan,242097,196264,3571
279,2021-01-02,Jordan,296668,273986,3877
280,2021-01-02,Kazakhstan,202880,177209,2770
281,2021-01-02,Kenya,96678,79012,1685
282,2021-01-02,"Korea, South",63244,44507,962
283,2021-01-02,Kosovo,51502,41854,1336
284,2021-01-02,Kuwait,151074,146990,937
285,2021-01-02,Kyrgyzstan,81214,76351,1358
286,2021-01-02,Laos,41,40,0
287,2021-01-02,Latvia,41929,29870,668
288,2021-01-02,Lebanon,186408,131000,1489
289,2021-01-02,Lesotho,3206,1496,65
290,2021-01-02,Liberia,1779,1406,83
291,2021-01-02,Libya,100744,73252,1487
292,2021-01-02,Liechtenstein,2202,1810,39
293,2021-01-02,Lithuania,146937,98982,1888
294,2021-01-02,Luxembourg,46415,40978,495
295,2021-01-02,MS Zaandam,9,7,2
296,2021-01-02,Madagascar,17767,17298,262
297,2021-01-02,Malawi,6712,5710,192
298,2021-01-02,Malaysia,117373,94492,483
299,2021-01-02,Maldives,13834,13166,48
300,2021-01-02,Mali,7226,4807,276
301,2021-01-02,Malta,12997,11211,220
302,2021-01-02,Marshall Islands,4,4,0
303,2021-01-02,Mauritania,14677,11913,353
304,2021-01-02,Mauritius,527,496,10
305,2021-01-02,Mexico,1443544,1090905,126851
306,2021-01-02,Moldova,145694,132342,3020
307,2021-01-02,Monaco,901,725,3
308,2021-01-02,Mongolia,1263,869,1
309,2021-01-02,Montenegro,48856,39014,684
310,2021-01-02,Morocco,442141,412168,7452
311,2021-01-02,Mozambique,18968,16684,168
312,2021-01-02,Namibia,24654,20931,213
313,2021-01-02,Nepal,261438,253857,1870
314,2021-01-02,Netherlands,825249,9694,11660
315,2021-01-02,New Zealand,2181,2084,25
316,2021-01-02,Nicaragua,6046,4225,165
317,2021-01-02,Niger,3437,1906,110
318,2021-01-02,Nigeria,89163,74789,1302
319,2021-01-02,North Macedonia,83789,62469,2522
320,2021-01-02,Norway,50266,17998,436
321,2021-01-02,Oman,128867,121890,1499
322,2021-01-02,Pakistan,486634,440660,10311
323,2021-01-02,Panama,251764,199694,4103
324,2021-01-02,Papua New Guinea,780,661,9
325,2021-01-02,Paraguay,108718,83880,2279
326,2021-01-02,Peru,1015137,951318,37680
327,2021-01-02,Philippines,476916,439942,9253
328,2021-01-02,Poland,1312780,1055436,29058
329,2021-01-02,Portugal,423870,340150,7045
330,2021-01-02,Qatar,144240,141680,245
331,2021-01-02,Romania,637395,571333,15919
332,2021-01-02,Russia,3179898,2572279,57235
333,2021-01-02,Rwanda,8567,6685,98
334,2021-01-02,Saint Kitts and Nevis,33,31,0
335,2021-01-02,Saint Lucia,353,289,5
336,2021-01-02,Saint Vincent and the Grenadines,122,98,0
337,2021-01-02,Samoa,2,2,0
338,2021-01-02,San Marino,2428,2042,59
339,2021-01-02,Sao Tome and Principe,1024,978,17
340,2021-01-02,Saudi Arabia,362979,354263,6239
341,2021-01-02,Senegal,19511,17433,416
342,2021-01-02,Serbia,341904,0,3288
343,2021-01-02,Seychelles,285,214,0
344,2021-01-02,Sierra Leone,2646,1910,76
345,2021-01-02,Singapore,58662,58476,29
346,2021-01-02,Slovakia,186244,128285,2250
347,2021-01-02,Slovenia,124343,102252,2774
348,2021-01-02,Solomon Islands,17,5,0
349,2021-01-02,Somalia,4714,3612,130
350,2021-01-02,South Africa,1088889,897704,29175
351,2021-01-02,South Sudan,3558,3131,63
352,2021-01-02,Spain,1928265,150376,50837
353,2021-01-02,Sri Lanka,44371,36717,211
354,2021-01-02,Sudan,25882,13524,1468
355,2021-01-02,Suriname,6343,5841,123
356,2021-01-02,Sweden,437379,0,8727
357,2021-01-02,Switzerland,452296,317600,7729
358,2021-01-02,Syria,11616,5485,723
359,2021-01-02,Taiwan*,808,686,7
360,2021-01-02,Tajikistan,13300,12939,90
361,2021-01-02,Tanzania,509,183,21
362,2021-01-02,Thailand,7694,4337,64
363,2021-01-02,Timor-Leste,44,32,0
364,2021-01-02,Togo,3683,3457,68
365,2021-01-02,Trinidad and Tobago,7162,6680,127
366,2021-01-02,Tunisia,141979,106050,4765
367,2021-01-02,Turkey,2232035,2126432,21295
368,2021-01-02,US,20553301,0,356739
369,2021-01-02,Uganda,35712,12037,274
370,2021-01-02,Ukraine,1102256,749371,19498
371,2021-01-02,United Arab Emirates,211641,188100,674
372,2021-01-02,United Kingdom,2607546,5747,74682
373,2021-01-02,Uruguay,20275,14592,201
374,2021-01-02,Uzbekistan,77182,75244,614
375,2021-01-02,Vanuatu,1,1,0
376,2021-01-02,Venezuela,114083,108086,1032
377,2021-01-02,Vietnam,1482,1337,35
378,2021-01-02,West Bank and Gaza,140287,120403,1446
379,2021-01-02,Yemen,2101,1396,610
380,2021-01-02,Zambia,21230,18942,392
381,2021-01-02,Zimbabwe,14491,11363,377
382,2021-01-03,Afghanistan,51526,41727,2191
383,2021-01-03,Albania,59438,34648,1193
384,2021-01-03,Algeria,100408,67808,2772
385,2021-01-03,Andorra,8192,7517,84
386,2021-01-03,Angola,17642,11223,408
387,2021-01-03,Antigua and Barbuda,160,148,5
388,2021-01-03,Argentina,1640718,1452960,43482
389,2021-01-03,Armenia,160027,144091,2850
390,2021-01-03,Australia,28504,22581,909
391,2021-01-03,Austria,365768,338831,6324
392,2021-01-03,Azerbaijan,220265,194843,2733
393,2021-01-03,Bahamas,7914,6239,175
394,2021-01-03,Bahrain,93478,90686,352
395,2021-01-03,Bangladesh,516019,460598,7626
396,2021-01-03,Barbados,556,319,7
397,2021-01-03,Belarus,199962,182630,1451
398,2021-01-03,Belgium,650011,0,19701
399,2021-01-03,Belize,10901,9994,250
400,2021-01-03,Benin,3251,3061,44
401,2021-01-03,Bhutan,716,450,0
402,2021-01-03,Bolivia,162661,133247,9201
403,2021-01-03,Bosnia and Herzegovina,112645,77891,4131
404,2021-01-03,Botswana,14805,12136,42
405,2021-01-03,Brazil,7733746,6904172,196018
406,2021-01-03,Brunei,172,149,3
407,2021-01-03,Bulgaria,203051,122411,7678
408,2021-01-03,Burkina Faso,7051,5259,86
409,2021-01-03,Burma,126345,109548,2728
410,2021-01-03,Burundi,833,687,2
411,2021-01-03,Cabo Verde,11920,11580,113
412,2021-01-03,Cambodia,382,362,0
413,2021-01-03,Cameroon,26848,24892,448
414,2021-01-03,Canada,606076,510595,16006
415,2021-01-03,Central African Republic,4963,1924,63
416,2021-01-03,Chad,2213,1720,104
417,2021-01-03,Chile,618191,584457,16767
418,2021-01-03,China,96160,90159,4784
419,2021-01-03,Colombia,1675820,1542353,43965
420,2021-01-03,Comoros,864,732,13
421,2021-01-03,Congo (Brazzaville),7107,5846,108
422,2021-01-03,Congo (Kinshasa),18102,14716,596
423,2021-01-03,Costa Rica,169321,131923,2185
424,2021-01-03,Cote d'Ivoire,22648,21998,138
425,2021-01-03,Croatia,212958,202442,4072
426,2021-01-03,Cuba,12424,10676,147
427,2021-01-03,Cyprus,23974,2057,131
428,2021-01-03,Czechia,740481,612214,11960
429,2021-01-03,Denmark,169358,137183,1374
430,2021-01-03,Diamond Princess,712,699,13
431,2021-01-03,Djibouti,5842,5741,61
432,2021-01-03,Dominica,88,83,0
433,2021-01-03,Dominican Republic,173331,132935,2418
434,2021-01-03,Ecuador,214614,190350,14059
435,2021-01-03,Egypt,142187,113898,7805
436,2021-01-03,El Salvador,46803,41787,1358
437,2021-01-03,Equatorial Guinea,5277,5136,86
438,2021-01-03,Eritrea,1320,643,3
439,2021-01-03,Estonia,29131,19323,244
440,2021-01-03,Eswatini,9943,7113,231
441,2021-01-03,Ethiopia,125622,112367,1948
442,2021-01-03,Fiji,49,44,2
443,2021-01-03,Finland,36772,29000,561
444,2021-01-03,France,2712975,201308,65164
445,2021-01-03,Gabon,9571,9388,64
446,2021-01-03,Gambia,3800,3669,124
447,2021-01-03,Georgia,229169,220442,2603
448,2021-01-03,Germany,1783896,1422151,34791
449,2021-01-03,Ghana,55168,53928,335
450,2021-01-03,Greece,140099,93764,4957
451,2021-01-03,Grenada,127,107,1
452,2021-01-03,Guatemala,138475,127450,4833
453,2021-01-03,Guinea,13784,13153,81
454,2021-01-03,Guinea-Bissau,2455,2398,45
455,2021-01-03,Guyana,6358,5899,164
456,2021-01-03,Haiti,10077,8672,236
457,2021-01-03,Holy See,27,15,0
458,2021-01-03,Honduras,123369,57348,3180
459,2021-01-03,Hungary,327995,168381,9884
460,2021-01-03,Iceland,5754,5578,29
461,2021-01-03,India,10340469,9946867,149649
462,2021-01-03,Indonesia,765350,631937,22734
463,2021-01-03,Iran,1243434,1013018,55540
464,2021-01-03,Iraq,597774,543720,12834
465,2021-01-03,Ireland,101887,23364,2259
466,2021-01-03,Israel,441542,388484,3416
467,2021-01-03,Italy,2155446,1503900,75332
468,2021-01-03,Jamaica,13049,10833,304
469,2021-01-03,Japan,245293,198330,3631
470,2021-01-03,Jordan,298208,276485,3903
471,2021-01-03,Kazakhstan,203563,178008,2771
472,2021-01-03,Kenya,96802,79073,1685
473,2021-01-03,"Korea, South",64264,45240,981
474,2021-01-03,Kosovo,51965,42637,1344
475,2021-01-03,Kuwait,151343,147271,937
476,2021-01-03,Kyrgyzstan,81388,76728,1360
477,2021-01-03,Laos,41,40,0
478,2021-01-03,Latvia,42497,30501,680
479,2021-01-03,Lebanon,189278,132768,1499
480,2021-01-03,Lesotho,3206,1496,65
481,2021-01-03,Liberia,1779,1406,83
482,2021-01-03,Libya,101414,74381,1510
483,2021-01-03,Liechtenstein,2222,1810,39
484,2021-01-03,Lithuania,148202,103029,1938
485,2021-01-03,Luxembourg,46415,40978,495
486,2021-01-03,MS Zaandam,9,7,2
487,2021-01-03,Madagascar,17767,17298,262
488,2021-01-03,Malawi,6844,5715,195
489,2021-01-03,Malaysia,119077,97218,494
490,2021-01-03,Maldives,13867,13191,48
491,2021-01-03,Mali,7253,4913,278
492,2021-01-03,Malta,13082,11275,220
493,2021-01-03,Marshall Islands,4,4,0
494,2021-01-03,Mauritania,14794,12136,358
495,2021-01-03,Mauritius,527,496,10
496,2021-01-03,Mexico,1448755,1098431,127213
497,2021-01-03,Moldova,145873,133247,3037
498,2021-01-03,Monaco,907,733,3
499,2021-01-03,Mongolia,1286,878,1
500,2021-01-03,Montenegro,49195,39347,689
501,2021-01-03,Morocco,443146,413393,7485
502,2021-01-03,Mozambique,19309,16765,169
503,2021-01-03,Namibia,25116,21055,215
504,2021-01-03,Nepal,261859,254494,1878
505,2021-01-03,Netherlands,832702,9919,11707
506,2021-01-03,New Zealand,2181,2084,25
507,2021-01-03,Nicaragua,6046,4225,165
508,2021-01-03,Niger,3465,1986,110
509,2021-01-03,Nigeria,90080,75044,1311
510,2021-01-03,North Macedonia,84024,62929,2530
511,2021-01-03,Norway,50716,17998,436
512,2021-01-03,Oman,129404,122266,1501
513,2021-01-03,Pakistan,488529,442457,10350
514,2021-01-03,Panama,253736,201816,4140
515,2021-01-03,Papua New Guinea,799,755,9
516,2021-01-03,Paraguay,109073,84837,2292
517,2021-01-03,Peru,1018099,958682,37773
518,2021-01-03,Philippines,477807,448258,9257
519,2021-01-03,Poland,1318562,1063093,29119
520,2021-01-03,Portugal,427254,342535,7118
521,2021-01-03,Qatar,144437,141808,245
522,2021-01-03,Romania,640429,574897,15979
523,2021-01-03,Russia,3203743,2591937,57730
524,2021-01-03,Rwanda,8676,6752,101
525,2021-01-03,Saint Kitts and Nevis,33,31,0
526,2021-01-03,Saint Lucia,353,289,5
527,2021-01-03,Saint Vincent and the Grenadines,124,100,0
528,2021-01-03,Samoa,2,2,0
529,2021-01-03,San Marino,2428,2042,59
530,2021-01-03,Sao Tome and Principe,1024,981,17
531,2021-01-03,Saudi Arabia,363061,354443,6246
532,2021-01-03,Senegal,19697,17515,421
533,2021-01-03,Serbia,343870,0,3325
534,2021-01-03,Seychelles,297,214,0
535,2021-01-03,Sierra Leone,2673,1910,76
536,2021-01-03,Singapore,58697,58487,29
537,2021-01-03,Slovakia,187463,129994,2317
538,2021-01-03,Slovenia,125086,103107,2803
539,2021-01-03,Solomon Islands,17,5,0
540,2021-01-03,Somalia,4714,3612,130
541,2021-01-03,South Africa,1100748,903679,29577
542,2021-01-03,South Sudan,3558,3131,63
543,2021-01-03,Spain,1928265,150376,50837
544,2021-01-03,Sri Lanka,44774,37252,211
545,2021-01-03,Sudan,26039,13524,1468
546,2021-01-03,Suriname,6393,5883,123
547,2021-01-03,Sweden,437379,0,8727
548,2021-01-03,Switzerland,452296,317600,7747
549,2021-01-03,Syria,11710,5546,729
550,2021-01-03,Taiwan*,812,689,7
551,2021-01-03,Tajikistan,13300,12980,90
552,2021-01-03,Tanzania,509,183,21
553,2021-01-03,Thailand,8439,4352,65
554,2021-01-03,Timor-Leste,46,32,0
555,2021-01-03,Togo,3702,3474,68
556,2021-01-03,Trinidad and Tobago,7168,6690,127
557,2021-01-03,Tunisia,143544,107049,4800
558,2021-01-03,Turkey,2241912,2136534,21488
559,2021-01-03,US,20762047,0,358186
560,2021-01-03,Uganda,35922,12037,274
561,2021-01-03,Ukraine,1107137,755810,19630
562,2021-01-03,United Arab Emirates,213231,189709,679
563,2021-01-03,United Kingdom,2662703,6097,75137
564,2021-01-03,Uruguay,20823,15125,204
565,2021-01-03,Uzbekistan,77258,75437,614
566,2021-01-03,Vanuatu,1,1,0
567,2021-01-03,Venezuela,114230,108268,1034
568,2021-01-03,Vietnam,1494,1339,35
569,2021-01-03,West Bank and Gaza,141219,121563,1470
570,2021-01-03,Yemen,2101,1399,610
571,2021-01-03,Zambia,21582,19083,394
572,2021-01-03,Zimbabwe,15265,11574,380
573,2021-01-04,Afghanistan,53011,42530,2237
574,2021-01-04,Albania,59623,34996,1199
575,2021-01-04,Algeria,100645,67999,2777
576,2021-01-04,Andorra,8249,7548,84
577,2021-01-04,Angola,17684,11266,408
578,2021-01-04,Antigua and Barbuda,160,148,5
579,2021-01-04,Argentina,1648940,1458083,43634
580,2021-01-04,Armenia,160220,144831,2864
581,2021-01-04,Australia,28517,22588,909
582,2021-01-04,Austria,367410,340273,6357
583,2021-01-04,Azerbaijan,220599,196734,2761
584,2021-01-04,Bahamas,7924,6239,175
585,2021-01-04,Bahrain,93766,90995,352
586,2021-01-04,Bangladesh,516929,461515,7650
587,2021-01-04,Barbados,606,324,7
588,2021-01-04,Belarus,201831,183625,1461
589,2021-01-04,Belgium,650887,0,19750
590,2021-01-04,Belize,10938,10095,257
591,2021-01-04,Benin,3251,3061,44
592,2021-01-04,Bhutan,734,453,0
593,2021-01-04,Bolivia,163671,133671,9219
594,2021-01-04,Bosnia and Herzegovina,112645,77891,4131
595,2021-01-04,Botswana,15368,12481,45
596,2021-01-04,Brazil,7753752,6950045,196561
597,2021-01-04,Brunei,172,149,3
598,2021-01-04,Bulgaria,204080,124624,7835
599,2021-01-04,Burkina Faso,7126,5300,86
600,2021-01-04,Burma,126935,110200,2744
601,2021-01-04,Burundi,842,687,2
602,2021-01-04,Cabo Verde,11949,11597,113
